ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0055085,transmembrane transport,190/1718,461/5857,0.4121475054229935,1.4050919320503334,5.837575176627011,9.246306168138345e-9,1.5210173646587577e-5,1.4093317191015078e-5,YAL005C/YAL022C/YAL053W/YBL030C/YBL099W/YBR021W/YBR043C/YBR069C/YBR091C/YBR127C/YBR180W/YBR220C/YBR235W/YBR295W/YBR296C/YBR298C/YCL005W-A/YCL025C/YCL038C/YCR011C/YCR023C/YCR028C/YCR037C/YCR075C/YCR098C/YDL092W/YDL138W/YDL183C/YDL206W/YDL210W/YDR086C/YDR119W/YDR270W/YDR322C-A/YDR338C/YDR342C/YDR343C/YDR345C/YDR352W/YDR406W/YDR529C/YDR536W/YEL006W/YEL027W/YEL063C/YEL064C/YEL065W/YEL069C/YER019C-A/YER039C/YER053C/YER056C/YER060W/YER103W/YFL050C/YFL054C/YFL055W/YFR033C/YGL008C/YGL077C/YGL080W/YGL139W/YGL186C/YGL191W/YGL253W/YGL254W/YGR121C/YGR125W/YGR138C/YGR191W/YGR217W/YGR243W/YGR257C/YGR260W/YHL008C/YHL016C/YHL028W/YHL036W/YHL040C/YHR002W/YHR039C-A/YHR092C/YHR094C/YHR096C/YHR162W/YHR175W/YIL006W/YIL088C/YIL090W/YIL121W/YIL166C/YIR028W/YJL034W/YJL108C/YJL166W/YJL193W/YJL212C/YJR045C/YJR095W/YJR106W/YJR121W/YJR124C/YJR152W/YKL016C/YKL073W/YKL084W/YKL120W/YKL195W/YKL197C/YKL217W/YKR016W/YKR039W/YKR093W/YKR103W/YKR104W/YKR105C/YLL053C/YLR004C/YLR092W/YLR152C/YLR188W/YLR237W/YLR259C/YLR295C/YLR378C/YLR447C/YML055W/YML081C-A/YML116W/YMR058W/YMR088C/YMR155W/YMR221C/YMR256C/YMR279C/YMR319C/YNL055C/YNL065W/YNL070W/YNL101W/YNL121C/YNL142W/YNL305C/YNL318C/YNL329C/YNR017W/YNR055C/YNR072W/YOL027C/YOL044W/YOL075C/YOL077W-A/YOL126C/YOL130W/YOL137W/YOL158C/YOR011W/YOR020C/YOR045W/YOR065W/YOR079C/YOR100C/YOR161C/YOR232W/YOR273C/YOR306C/YOR328W/YOR348C/YOR390W/YPL026C/YPL036W/YPL063W/YPL078C/YPL092W/YPL098C/YPL189W/YPL265W/YPL271W/YPL274W/YPR011C/YPR020W/YPR058W/YPR115W/YPR124W/YPR128C/YPR133W-A/YPR156C/YPR191W/YPR194C/YPR201W,190
GO:0006091,generation of precursor metabolites and energy,97/1718,206/5857,0.470873786407767,1.6053013777591916,5.69779762085984,3.288767364994282e-8,2.705011157707797e-5,2.5063869181640636e-5,YAL038W/YBL030C/YBR010W/YBR117C/YBR196C/YBR238C/YCR005C/YCR012W/YDL021W/YDL085W/YDR031W/YDR050C/YDR148C/YDR529C/YEL011W/YEL039C/YER054C/YER065C/YER067W/YFL018C/YFL053W/YFR003C/YFR015C/YFR017C/YFR021W/YFR033C/YFR049W/YGL134W/YGL191W/YGL226W/YGL253W/YGR043C/YGR240C/YGR254W/YGR256W/YHR174W/YHR183W/YIL050W/YIL057C/YIR031C/YJL045W/YJL052W/YJL116C/YJL137C/YJL166W/YJR009C/YJR120W/YJR121W/YKL055C/YKL060C/YKL085W/YKL148C/YKL152C/YKR046C/YKR058W/YLR044C/YLR087C/YLR134W/YLR154W-C/YLR164W/YLR174W/YLR258W/YLR446W/YML070W/YMR002W/YMR030W/YMR081C/YMR105C/YMR145C/YMR256C/YMR311C/YNL037C/YNL117W/YNL169C/YNL241C/YNL242W/YNR001C/YNR074C/YOL056W/YOL086C/YOL126C/YOL136C/YOR002W/YOR065W/YOR136W/YOR178C/YOR344C/YOR347C/YOR355W/YOR374W/YPL061W/YPL075W/YPL252C/YPL262W/YPL271W/YPR184W/YPR191W,97
GO:0046034,ATP metabolic process,31/1718,49/5857,0.6326530612244898,2.156838754127961,5.238681146373783,7.946679891720886e-7,4.302472943237323e-4,3.986549877976416e-4,YAL038W/YBL099W/YBR127C/YBR196C/YCR012W/YDL021W/YDR050C/YDR322C-A/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR446W/YML081C-A/YOL056W/YOL077W-A/YOL136C/YOR344C/YOR347C/YPL075W/YPL078C/YPL271W/YPR020W,31
GO:0043436,oxoacid metabolic process,150/1718,369/5857,0.4065040650406504,1.3858523334942314,4.932779055183901,1.0461940287507168e-6,4.302472943237323e-4,3.986549877976416e-4,YAL012W/YAL038W/YBL015W/YBR112C/YBR196C/YBR218C/YCL009C/YCL018W/YCL064C/YCR005C/YCR012W/YCR037C/YDL015C/YDL021W/YDR050C/YDR089W/YDR148C/YDR253C/YDR354W/YDR452W/YDR511W/YDR539W/YEL020C/YEL046C/YEL071W/YER010C/YER040W/YER043C/YER052C/YER055C/YER061C/YER065C/YER073W/YFL018C/YFR049W/YFR055W/YGL009C/YGL055W/YGL062W/YGL148W/YGL184C/YGL196W/YGL205W/YGL253W/YGR087C/YGR124W/YGR204W/YGR240C/YGR254W/YGR256W/YHR033W/YHR037W/YHR063C/YHR067W/YHR174W/YHR183W/YHR205W/YIL009W/YIL020C/YIL051C/YIL074C/YIR017C/YIR023W/YIR031C/YIR033W/YJL012C/YJL052W/YJL060W/YJL088W/YJL097W/YJL130C/YJL196C/YJR009C/YJR010W/YJR019C/YJR024C/YJR078W/YJR137C/YJR148W/YKL001C/YKL055C/YKL060C/YKL085W/YKL106W/YKL152C/YKL182W/YKR009C/YKR034W/YKR069W/YLL027W/YLL058W/YLL062C/YLR044C/YLR134W/YLR142W/YLR153C/YLR174W/YLR231C/YLR303W/YLR351C/YLR380W/YLR438W/YLR446W/YML054C/YML076C/YML099C/YMR009W/YMR169C/YMR170C/YMR207C/YMR246W/YMR272C/YMR280C/YMR322C/YNL037C/YNL103W/YNL117W/YNL229C/YNL239W/YNL256W/YNL277W/YNR001C/YNR016C/YOL002C/YOL056W/YOL058W/YOL126C/YOL136C/YOL140W/YOR100C/YOR136W/YOR344C/YOR347C/YOR363C/YOR374W/YOR391C/YPL061W/YPL075W/YPL095C/YPL111W/YPL231W/YPL262W/YPL273W/YPL280W/YPR002W/YPR006C/YPR035W/YPR118W/YPR128C/YPR167C,150
GO:0006082,organic acid metabolic process,150/1718,371/5857,0.40431266846361186,1.378381431426877,4.8512456861820565,1.5259600462677842e-6,4.652587282905933e-4,4.310955933865168e-4,YAL012W/YAL038W/YBL015W/YBR112C/YBR196C/YBR218C/YCL009C/YCL018W/YCL064C/YCR005C/YCR012W/YCR037C/YDL015C/YDL021W/YDR050C/YDR089W/YDR148C/YDR253C/YDR354W/YDR452W/YDR511W/YDR539W/YEL020C/YEL046C/YEL071W/YER010C/YER040W/YER043C/YER052C/YER055C/YER061C/YER065C/YER073W/YFL018C/YFR049W/YFR055W/YGL009C/YGL055W/YGL062W/YGL148W/YGL184C/YGL196W/YGL205W/YGL253W/YGR087C/YGR124W/YGR204W/YGR240C/YGR254W/YGR256W/YHR033W/YHR037W/YHR063C/YHR067W/YHR174W/YHR183W/YHR205W/YIL009W/YIL020C/YIL051C/YIL074C/YIR017C/YIR023W/YIR031C/YIR033W/YJL012C/YJL052W/YJL060W/YJL088W/YJL097W/YJL130C/YJL196C/YJR009C/YJR010W/YJR019C/YJR024C/YJR078W/YJR137C/YJR148W/YKL001C/YKL055C/YKL060C/YKL085W/YKL106W/YKL152C/YKL182W/YKR009C/YKR034W/YKR069W/YLL027W/YLL058W/YLL062C/YLR044C/YLR134W/YLR142W/YLR153C/YLR174W/YLR231C/YLR303W/YLR351C/YLR380W/YLR438W/YLR446W/YML054C/YML076C/YML099C/YMR009W/YMR169C/YMR170C/YMR207C/YMR246W/YMR272C/YMR280C/YMR322C/YNL037C/YNL103W/YNL117W/YNL229C/YNL239W/YNL256W/YNL277W/YNR001C/YNR016C/YOL002C/YOL056W/YOL058W/YOL126C/YOL136C/YOL140W/YOR100C/YOR136W/YOR344C/YOR347C/YOR363C/YOR374W/YOR391C/YPL061W/YPL075W/YPL095C/YPL111W/YPL231W/YPL262W/YPL273W/YPL280W/YPR002W/YPR006C/YPR035W/YPR118W/YPR128C/YPR167C,150
GO:0032787,monocarboxylic acid metabolic process,80/1718,174/5857,0.45977011494252873,1.5674467771934755,4.89525512175577,1.7917101126966253e-6,4.652587282905933e-4,4.310955933865168e-4,YAL038W/YBL015W/YBR112C/YBR196C/YBR218C/YCL018W/YCR012W/YDL015C/YDL021W/YDR050C/YDR539W/YEL020C/YEL071W/YER010C/YER061C/YER065C/YER073W/YFL018C/YFR055W/YGL055W/YGL062W/YGL205W/YGL253W/YGR240C/YGR254W/YGR256W/YHR063C/YHR067W/YHR174W/YHR183W/YIL009W/YIR023W/YIR031C/YIR033W/YJL052W/YJL060W/YJL097W/YJL196C/YJR009C/YJR019C/YKL055C/YKL060C/YKL152C/YKL182W/YKR009C/YLL027W/YLR044C/YLR134W/YLR153C/YLR174W/YLR231C/YLR380W/YLR446W/YML054C/YMR169C/YMR170C/YMR207C/YMR246W/YMR272C/YMR280C/YMR322C/YNL117W/YNR016C/YOL002C/YOL056W/YOL136C/YOR100C/YOR344C/YOR347C/YOR363C/YOR374W/YOR391C/YPL061W/YPL075W/YPL095C/YPL231W/YPL280W/YPR002W/YPR006C/YPR128C,80
GO:0019752,carboxylic acid metabolic process,143/1718,352/5857,0.40625,1.3849861757857975,4.7995686248388125,1.9798243757046523e-6,4.652587282905933e-4,4.310955933865168e-4,YAL012W/YAL038W/YBL015W/YBR112C/YBR196C/YBR218C/YCL009C/YCL018W/YCL064C/YCR005C/YCR012W/YDL015C/YDL021W/YDR050C/YDR148C/YDR253C/YDR354W/YDR511W/YDR539W/YEL020C/YEL046C/YEL071W/YER010C/YER043C/YER052C/YER055C/YER061C/YER065C/YER073W/YFL018C/YFR049W/YFR055W/YGL009C/YGL055W/YGL062W/YGL148W/YGL184C/YGL196W/YGL205W/YGL253W/YGR087C/YGR124W/YGR204W/YGR240C/YGR254W/YGR256W/YHR033W/YHR037W/YHR063C/YHR067W/YHR174W/YHR183W/YHR205W/YIL009W/YIL020C/YIL051C/YIL074C/YIR017C/YIR023W/YIR031C/YIR033W/YJL052W/YJL060W/YJL088W/YJL097W/YJL130C/YJL196C/YJR009C/YJR010W/YJR019C/YJR024C/YJR078W/YJR137C/YJR148W/YKL001C/YKL055C/YKL060C/YKL085W/YKL106W/YKL152C/YKL182W/YKR009C/YKR069W/YLL027W/YLL058W/YLL062C/YLR044C/YLR134W/YLR142W/YLR153C/YLR174W/YLR231C/YLR303W/YLR351C/YLR380W/YLR438W/YLR446W/YML054C/YML076C/YML099C/YMR009W/YMR169C/YMR170C/YMR207C/YMR246W/YMR272C/YMR280C/YMR322C/YNL037C/YNL103W/YNL117W/YNL239W/YNL256W/YNL277W/YNR001C/YNR016C/YOL002C/YOL056W/YOL058W/YOL126C/YOL136C/YOL140W/YOR100C/YOR136W/YOR344C/YOR347C/YOR363C/YOR374W/YOR391C/YPL061W/YPL075W/YPL095C/YPL111W/YPL231W/YPL262W/YPL273W/YPL280W/YPR002W/YPR006C/YPR035W/YPR118W/YPR128C/YPR167C,143
GO:0009144,purine nucleoside triphosphate metabolic process,32/1718,56/5857,0.5714285714285714,1.9481124230833193,4.592686683122169,1.2117238931536937e-5,0.0024916072552972827,0.0023086528911665113,YAL038W/YBL099W/YBR127C/YBR196C/YBR252W/YCR012W/YDL021W/YDR050C/YDR322C-A/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR446W/YML081C-A/YOL056W/YOL077W-A/YOL136C/YOR344C/YOR347C/YPL075W/YPL078C/YPL271W/YPR020W,32
GO:0009205,purine ribonucleoside triphosphate metabolic process,31/1718,54/5857,0.5740740740740741,1.9571314620790756,4.552045427189853,1.4579770738340692e-5,0.002664858096063382,0.0024691822256277573,YAL038W/YBL099W/YBR127C/YBR196C/YCR012W/YDL021W/YDR050C/YDR322C-A/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR446W/YML081C-A/YOL056W/YOL077W-A/YOL136C/YOR344C/YOR347C/YPL075W/YPL078C/YPL271W/YPR020W,31
GO:0009199,ribonucleoside triphosphate metabolic process,33/1718,59/5857,0.559322033898305,1.9068388547976558,4.510050665191988,1.6461659605975163e-5,0.0027079430051829144,0.0025091034852054777,YAL038W/YBL099W/YBR127C/YBR196C/YCR012W/YDL021W/YDR050C/YDR322C-A/YER005W/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR446W/YML081C-A/YNR012W/YOL056W/YOL077W-A/YOL136C/YOR344C/YOR347C/YPL075W/YPL078C/YPL271W/YPR020W,33
